"Grupao","Grupo","Familia","Especie","NomeComum","PrincipaisAmeacas"
"Flora","Angiospermas","Gentianaceae","Senaea janeirensis","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Asteraceae","Senecio almasensis","-","agropecuaria"
"Flora","Angiospermas","Asteraceae","Senecio caparaoensis","-","queimadas"
"Flora","Angiospermas","Asteraceae","Senecio gertii","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Asteraceae","Senecio graciellae","-","agropecuaria"
"Flora","Angiospermas","Asteraceae","Senecio hatschbachii","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Asteraceae","Senecio heteroschizus","-","agropecuaria"
"Flora","Angiospermas","Asteraceae","Senecio langei","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Asteraceae","Senecio promatensis","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Asteraceae","Senecio ramboanus","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Asteraceae","Senecio riograndensis","-","vazio"
"Flora","Angiospermas","Sapindaceae","Serjania divaricocca","-","queimadas"
