"Grupao","Grupo","Familia","Especie","NomeComum","PrincipaisAmeacas"
"Flora","Angiospermas","Asteraceae","Stenachaenium macrocephalum","-","agropecuaria"
"Flora","Angiospermas","Acanthaceae","Stenandrium hatschbachii","-","mineraçao"
"Flora","Angiospermas","Acanthaceae","Stenandrium hatschbachii","-","Turismo desordenado"
"Flora","Angiospermas","Acanthaceae","Stenandrium hatschbachii","-","agropecuaria"
"Flora","Angiospermas","Acanthaceae","Stenandrium hatschbachii","-","queimadas"
"Flora","Angiospermas","Acanthaceae","Stenandrium stenophyllum","-","mineraçao"
"Flora","Angiospermas","Acanthaceae","Stenandrium stenophyllum","-","Turismo desordenado"
"Flora","Angiospermas","Acanthaceae","Stenandrium stenophyllum","-","agropecuaria"
"Flora","Angiospermas","Acanthaceae","Stenandrium stenophyllum","-","queimadas"
"Fauna","Répteis","Tropiduridae","Stenocercus azureus","Iguaninha-azul; Lagarto-das-pedras","agropecuaria"
"Fauna","Répteis","Tropiduridae","Stenocercus azureus","Iguaninha-azul; Lagarto-das-pedras","mineraçao"
"Fauna","Répteis","Tropiduridae","Stenocercus dumerilii","Desconhecido","agropecuaria"
"Fauna","Répteis","Tropiduridae","Stenocercus dumerilii","Desconhecido","expansão urbana"
"Fauna","Répteis","Tropiduridae","Stenocercus dumerilii","Desconhecido","assentamento humano:rurais"
"Flora","Pteridófitas","Polypodiaceae","Stenogrammitis limula","-","vazio"
"Flora","Pteridófitas","Polypodiaceae","Stenogrammitis pumila","-","vazio"
"Flora","Angiospermas","Asteraceae","Stenophalium eriodes","-","vazio"
"Flora","Angiospermas","Dichapetalaceae","Stephanopodium engleri","-","extraçao para combustivel"
"Flora","Angiospermas","Dichapetalaceae","Stephanopodium engleri","-","mineraçao"
"Flora","Angiospermas","Dichapetalaceae","Stephanopodium magnifolium","-","expansão urbana"
"Flora","Angiospermas","Dichapetalaceae","Stephanopodium magnifolium","-","poluiçao"
"Fauna","Aves","Sternidae","Sterna dougallii","Trinta-réis-róseo","expansão urbana"
"Fauna","Aves","Sternidae","Sterna dougallii","Trinta-réis-róseo","Turismo desordenado"
"Fauna","Aves","Sternidae","Sterna hirundinacea","Trinta-réis-de-bico-vermelho","expansão urbana"
"Fauna","Aves","Sternidae","Sterna hirundinacea","Trinta-réis-de-bico-vermelho","desastres naturais"
"Fauna","Aves","Sternidae","Sterna hirundinacea","Trinta-réis-de-bico-vermelho","caça/pesca/captura"
"Fauna","Aves","Sternidae","Sterna hirundinacea","Trinta-réis-de-bico-vermelho","mudanças na dinamica das especies nativas"
"Fauna","Peixes Continentais","Apteronotidae","Sternarchella curvioperculata","Ituí","Produção de energia"
"Fauna","Peixes Continentais","Apteronotidae","Sternarchella curvioperculata","Ituí","poluiçao"
"Fauna","Peixes Continentais","Apteronotidae","Sternarchogiton zuanoni","Desconhecido","Produção de energia"
"Fauna","Peixes Continentais","Apteronotidae","Sternarchorhynchus britskii","Ituí","Produção de energia"
"Fauna","Peixes Continentais","Apteronotidae","Sternarchorhynchus caboclo","Desconhecido","Produção de energia"
"Fauna","Peixes Continentais","Apteronotidae","Sternarchorhynchus higuchii","Desconhecido","Produção de energia"
"Fauna","Peixes Continentais","Apteronotidae","Sternarchorhynchus inpai","Desconhecido","Produção de energia"
"Fauna","Peixes Continentais","Apteronotidae","Sternarchorhynchus jaimei","Desconhecido","Produção de energia"
"Fauna","Peixes Continentais","Apteronotidae","Sternarchorhynchus kokraimoro","Desconhecido","Produção de energia"
"Fauna","Peixes Continentais","Apteronotidae","Sternarchorhynchus mareikeae","Desconhecido","Produção de energia"
"Fauna","Peixes Continentais","Apteronotidae","Sternarchorhynchus severii","Ituí","Produção de energia"
"Fauna","Peixes Continentais","Apteronotidae","Sternarchorhynchus villasboasi","Desconhecido","Produção de energia"
"Flora","Angiospermas","Asteraceae","Stevia catharinensis","-","plantaçao de madereiras"
"Flora","Angiospermas","Asteraceae","Stevia catharinensis","-","queimadas"
"Flora","Angiospermas","Asteraceae","Stevia hilarii","-","queimadas"
"Flora","Angiospermas","Asteraceae","Stevia hilarii","-","agropecuaria"
"Flora","Angiospermas","Asteraceae","Stevia hilarii","-","desenvolvimento e infraestrutura"
"Flora","Angiospermas","Asteraceae","Stevia hilarii","-","mineraçao"
"Flora","Angiospermas","Asteraceae","Stevia leptophylla","-","agropecuaria"
"Flora","Angiospermas","Asteraceae","Stevia leptophylla","-","especies invasoras"
"Flora","Angiospermas","Asteraceae","Stevia riedelli","-","vazio"
"Flora","Angiospermas","Asteraceae","Stevia selloi","-","agropecuaria"
"Flora","Angiospermas","Asteraceae","Stevia selloi","-","especies invasoras"
"Flora","Angiospermas","Asteraceae","Steyermarkina dispalata","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Asteraceae","Stifftia fruticosa","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Malpighiaceae","Stigmaphyllon bradei","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Malpighiaceae","Stigmaphyllon carautae","-","distribuiçao restrita"
"Flora","Angiospermas","Malpighiaceae","Stigmaphyllon crenatum","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Malpighiaceae","Stigmaphyllon glabrum","-","distribuiçao restrita"
"Flora","Angiospermas","Malpighiaceae","Stigmaphyllon glabrum","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Malpighiaceae","Stigmaphyllon harleyi","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Malpighiaceae","Stigmaphyllon harleyi","-","distribuiçao restrita"
"Flora","Angiospermas","Malpighiaceae","Stigmaphyllon macedoanum","-","distribuiçao restrita"
"Flora","Angiospermas","Malpighiaceae","Stigmaphyllon mattogrossense","-","distribuiçao restrita"
"Flora","Angiospermas","Malpighiaceae","Stigmaphyllon mattogrossense","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Malpighiaceae","Stigmaphyllon vitifolium","-","perda de habitat/degradaçao (induzida por humanos)"
"Fauna","Invertebrados Terrestres","Formicidae","Stigmatomma cleae","Formiga","agropecuaria"
"Flora","Angiospermas","Orchidaceae","Stigmatosema hatschbachii","-","mineraçao"
"Flora","Angiospermas","Orchidaceae","Stigmatosema hatschbachii","-","perda de habitat/degradaçao (induzida por humanos)"
"Fauna","Aves","Tyrannidae","Stigmatura napensis napensis","Papa-mosca-do-sertão","agropecuaria"
"Fauna","Aves","Tyrannidae","Stigmatura napensis napensis","Papa-mosca-do-sertão","mineraçao"
"Fauna","Aves","Tyrannidae","Stigmatura napensis napensis","Papa-mosca-do-sertão","Produção de energia"
"Fauna","Aves","Tyrannidae","Stigmatura napensis napensis","Papa-mosca-do-sertão","transportes (terrestre/aereo/aquatico)"
"Flora","Angiospermas","Asteraceae","Stilpnopappus semirianus","-","agropecuaria"
"Flora","Angiospermas","Asteraceae","Stilpnopappus semirianus","-","extraçao para combustivel"
"Flora","Angiospermas","Asteraceae","Stilpnopappus suffruticosus","-","agropecuaria"
"Flora","Angiospermas","Asteraceae","Stomatanthes loefgrenii","-","vazio"
"Flora","Angiospermas","Acanthaceae","Streblacanthus dubiosus","-","queimadas"
"Flora","Angiospermas","Acanthaceae","Streblacanthus dubiosus","-","perda de habitat/degradaçao (induzida por humanos)"
"Fauna","Aves","Strigidae","Strix huhula albomarginata","Coruja-preta","agropecuaria"
"Fauna","Aves","Strigidae","Strix huhula albomarginata","Coruja-preta","expansão urbana"
"Flora","Angiospermas","Asteraceae","Strophopappus bicolor","-","mineraçao"
"Flora","Angiospermas","Asteraceae","Strophopappus bicolor","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Asteraceae","Strophopappus ferrugineus","-","mineraçao"
"Flora","Angiospermas","Asteraceae","Strophopappus ferrugineus","-","perda de habitat/degradaçao (induzida por humanos)"
"Fauna","Invertebrados Terrestres","Lycaenidae","Strymon ohausi","Borboleta","agropecuaria"
"Fauna","Invertebrados Terrestres","Lycaenidae","Strymon ohausi","Borboleta","expansão urbana"
"Fauna","Invertebrados Terrestres","Lycaenidae","Strymon ohausi","Borboleta","poluiçao"
"Fauna","Invertebrados Terrestres","Lycaenidae","Strymon ohausi","Borboleta","queimadas"
