"Grupao","Grupo","Familia","Especie","NomeComum","AreasProtegidas","PAN","OrdenamentoPesqueiro","ProtecaoNacional","ExclusivaBrasil"
"Flora","Angiospermas","Salicaceae","Abatia angeliana","-","Sim","Sim","Não","2","Sim"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","Sim","Não","Não","4","Não"
"Flora","Angiospermas","Malvaceae","Abutilon anodoides","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Malvaceae","Abutilon nigricans","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","Sim","Sim","Não","3","Não"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis mourei","Libélula","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","Sim","Não","Não","3","Sim"
"Flora","Angiospermas","Plantaginaceae","Achetaria caparaoense","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","Sim","Sim","Não","2","Sim"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","Sim","Não","Não","1","Sim"
"Flora","Angiospermas","Orchidaceae","Acianthera adiri","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Acianthera langeana","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","Sim","Sim","Não","3","Informação não disponível"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","Sim","Não","Não","2","Não"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Asteraceae","Acritopappus connatifolius","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Asteraceae","Acritopappus irwinii","-","Sim","Sim","Não","2","Informação não disponível"
"Flora","Angiospermas","Asteraceae","Acritopappus pintoi","-","Não","Não","Não","1","Sim"
"Fauna","Aves","Furnariidae","Acrobatornis fonsecai","Acrobata","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus cipoensis","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus claussenianus","-","Sim","Sim","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote quadra","Borboleta-palha","Sim","Sim","Não","3","Sim"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote zikani","Borboleta","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Adamantinia miltonioides","-","Sim","Não","Não","3","Sim"
"Fauna","Invertebrados Terrestres","Baetidae","Adebrotus lugoi","Siriruia","Sim","Não","Não","2","Sim"
"Fauna","Anfíbios","Eleutherodactylidae","Adelophryne maranguapensis","Desconhecido","Não","Sim","Não","2","Sim"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma fruticosum","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma magnoalatum","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma ubatubense","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Euphorbiaceae","Adenophaedra cearensis","-","Sim","Não","Não","2","Sim"
"Flora","Pteridófitas","Pteridaceae","Adiantum diphyllum","-","Sim","Não","Não","2","Sim"
"Flora","Pteridófitas","Pteridaceae","Adiantum discolor","-","Sim","Não","Não","2","Sim"
"Flora","Pteridófitas","Pteridaceae","Adiantum mynsseniae","-","Sim","Não","Não","2","Sim"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Pteridófitas","Pteridaceae","Adiantum tetragonum","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Angiospermas","Bromeliaceae","Aechmea alopecurus","-","Não","Não","Não","1","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea amicorum","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea azurea","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea bambusoides","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Angiospermas","Bromeliaceae","Aechmea cariocae","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea castanea","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea depressa","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea echinata","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea fosteriana","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea gustavoi","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea kertesziae","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea kleinii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea macrochlamys","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea marginalis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea muricata","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea mutica","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea orlandiana","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea sphaerocephala","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea triangularis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea vanhoutteana","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea werdermannii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Aechmea winkleri","-","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla brevipalma","Egla","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla camargoi","Egla","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla cavernicola","Egla","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla franca","Egla","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla grisella","Egla","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inconspicua","Egla","Sim","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inermis","Egla","Sim","Sim","Não","2","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla itacolomiensis","Egla","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla lata","Egla","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leachi","Egla","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptochela","Egla","Não","Não","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptodactyla","Egla","Sim","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla ligulata","Egla","Sim","Sim","Não","2","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla manuinflata","Egla","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla microphthalma","Egla","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla oblata","Egla","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla obstipa","Egla","Não","Não","Não","0","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla perobae","Egla","Sim","Sim","Não","2","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla plana","Egla","Sim","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla pomerana","Egla","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla renana","Egla","Sim","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla rossiana","Egla","Sim","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinipalma","Egla","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinosa","Egla","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla strinatii","Egla","Sim","Sim","Não","1","Sim"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla violacea","Egla","Sim","Sim","Não","1","Sim"
"Flora","Angiospermas","Fabaceae","Aeschynomene fructipendula","-","Não","Sim","Não","2","Informação não disponível"
"Flora","Angiospermas","Fabaceae","Aeschynomene laca-buendiana","-","Não","Sim","Não","2","Sim"
"Flora","Angiospermas","Orobanchaceae","Agalinis bandeirensis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orobanchaceae","Agalinis brachyphylla","-","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Orobanchaceae","Agalinis itambensis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orobanchaceae","Agalinis nana","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orobanchaceae","Agalinis ramulifera","-","Não","Sim","Não","2","Sim"
"Flora","Angiospermas","Orobanchaceae","Agalinis schwackeana","-","Não","Sim","Não","2","Sim"
"Fauna","Anfíbios","Hylidae","Agalychnis granulosa","Desconhecido","Sim","Sim","Não","4","Sim"
"Flora","Angiospermas","Asteraceae","Agrianthus almasensis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Asteraceae","Agrianthus giuliettiae","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Poaceae","Agrostis lenis","-","Sim","Sim","Não","2","Não"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","Sim","Não","Não","2","Sim"
"Fauna","Peixes Continentais","Pimelodidae","Aguarunichthys tocantinsensis","Bagre","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Lauraceae","Aiouea benthamiana","louro rosa","Sim","Não","Não","3","Não"
"Flora","Angiospermas","Lauraceae","Aiouea bracteata","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Lauraceae","Aiouea lehmannii","-","Sim","Não","Não","2","Não"
"Fauna","Mamíferos","Cricetidae","Akodon mystax","Rato-do-chão","Sim","Não","Não","1","Sim"
"Flora","Pteridófitas","Polypodiaceae","Alansmia senilis","-","Sim","Não","Não","2","Não"
"Flora","Angiospermas","Orchidaceae","Alatiglossum croesus","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Fabaceae","Albizia burkartiana","Angico-branco","Não","Não","Não","1","Sim"
"Flora","Angiospermas","Fabaceae","Albizia glabripetala","-","Sim","Não","Não","3","Não"
"Flora","Angiospermas","Bromeliaceae","Alcantarea benzingii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Alcantarea duarteana","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Alcantarea farneyi","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Alcantarea geniculata","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Alcantarea glaziouana","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Alcantarea imperialis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Alcantarea nahoumii","-","Não","Não","Não","1","Sim"
"Flora","Angiospermas","Bromeliaceae","Alcantarea nevaresii","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Alcantarea vinicolor","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Asteraceae","Aldama corumbensis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Asteraceae","Aldama filifolia","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Asteraceae","Aldama goyazii","-","Sim","Sim","Não","2","Informação não disponível"
"Flora","Angiospermas","Asteraceae","Aldama linearifolia","-","Sim","Não","Não","2","Não"
"Flora","Angiospermas","Asteraceae","Aldama paranensis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Asteraceae","Aldama vernonioides","-","Sim","Não","Não","2","Sim"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","Sim","Sim","Não","4","Não"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron prominens","Mariposa","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron ypanemae","Mariposa","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Euphorbiaceae","Algernonia dimitrii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Euphorbiaceae","Algernonia kuhlmannii","sabiá; pau de leite","Não","Não","Não","1","Sim"
"Flora","Angiospermas","Arecaceae","Allagoptera brevicalyx","Cachandó","Sim","Não","Não","2","Sim"
"Fauna","Anfíbios","Aromobatidae","Allobates brunneus","Desconhecido","Não","Sim","Não","1","Sim"
"Fauna","Anfíbios","Aromobatidae","Allobates goianus","Desconhecido","Sim","Sim","Não","3","Sim"
"Fauna","Anfíbios","Aromobatidae","Allobates olfersioides","Desconhecido","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Rutaceae","Almeidea coerulea","-","Sim","Não","Não","2","Sim"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","Sim","Sim","Sim","4","Não"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","Sim","Sim","Sim","4","Não"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","Sim","Sim","Não","5","Sim"
"Fauna","Mamíferos","Atelidae","Alouatta discolor","Guariba-de-mãos-ruivas","Sim","Sim","Não","4","Sim"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","Sim","Sim","Não","3","Sim"
"Fauna","Mamíferos","Atelidae","Alouatta guariba guariba","Bugio-marrom","Sim","Sim","Não","3","Sim"
"Fauna","Mamíferos","Atelidae","Alouatta ululata","Guariba","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Verbenaceae","Aloysia hatschbachii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Rubiaceae","Alseis involuta","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria amabilis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria brasiliensis","-","Não","Sim","Não","2","Sim"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria capixaba","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria caryophyllaea","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria malmeana","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria orchidioides","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria penduliflora","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Amaranthaceae","Alternanthera decurrens","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Amaranthaceae","Alternanthera hirtula","-","Sim","Não","Não","2","Não"
"Flora","Angiospermas","Amaranthaceae","Alternanthera januarensis","-","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus campoi","Besouro-tesoura","Sim","Não","Não","3","Sim"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus dulceae","Besouro-tesoura","Sim","Não","Não","3","Sim"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus godinhorum","Besouro-tesoura","Sim","Não","Não","3","Sim"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus koikei","Besouro-tesoura","Sim","Não","Não","3","Sim"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus rotundatus","Besouro-tesoura","Sim","Não","Não","3","Sim"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus ruficollis","Besouro-tesoura","Sim","Não","Não","3","Sim"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus trifurcatus","Besouro-tesoura","Sim","Não","Não","3","Sim"
"Flora","Angiospermas","Poaceae","Altoparadisium chapadense","-","Sim","Sim","Não","2","Sim"
"Fauna","Aves","Accipitridae","Amadonastur lacernulatus","Gavião-pombo-pequeno ","Sim","Não","Não","4","Sim"
"Flora","Angiospermas","Amaranthaceae","Amaranthus rosengurtii","-","Não","Não","Não","1","Não"
"Fauna","Aves","Psittacidae","Amazona pretrei","Papagaio-charão","Sim","Não","Não","3","Não"
"Fauna","Aves","Psittacidae","Amazona rhodocorytha","Chauá","Sim","Não","Não","4","Sim"
"Fauna","Aves","Psittacidae","Amazona vinacea","Papagaio-de-peito-roxo","Sim","Não","Não","3","Não"
"Flora","Angiospermas","Fabaceae","Amburana acreana","cerejeira; cumaru de cheiro","Sim","Não","Não","1","Não"
"Fauna","Répteis","Teiidae","Ameiva parecis","Calango","Sim","Sim","Não","2","Sim"
"Fauna","Répteis","Teiidae","Ameivula abaetensis","Lagartinho-de-abaeté","Sim","Sim","Não","2","Sim"
"Fauna","Répteis","Teiidae","Ameivula littoralis","Lagarto-da-cauda-verde","Sim","Sim","Não","2","Sim"
"Fauna","Répteis","Teiidae","Ameivula nativo","Lagartinho-de-linhares","Sim","Sim","Não","2","Sim"
"Fauna","Répteis","Typhlopidae","Amerotyphlops amoipira","Cobra-cega-das-dunas","Sim","Sim","Não","4","Sim"
"Fauna","Répteis","Typhlopidae","Amerotyphlops paucisquamus","Desconhecido","Sim","Sim","Não","2","Sim"
"Fauna","Répteis","Typhlopidae","Amerotyphlops yonenagae","Cobra-cega-do-são-francisco","Não","Sim","Não","2","Sim"
"Fauna","Répteis","Amphisbanidae","Amphisbaena arda","Cobra-de-duas-cabeças","Sim","Sim","Não","4","Sim"
"Fauna","Répteis","Amphisbanidae","Amphisbaena frontalis","Cobra-de-duas-cabeças","Sim","Sim","Não","4","Sim"
"Fauna","Répteis","Amphisbanidae","Amphisbaena nigricauda","Cobra-de-duas-cabeças","Sim","Sim","Não","2","Sim"
"Fauna","Répteis","Amphisbanidae","Amphisbaena supernumeraria","Cobra-de-duas-cabeças","Sim","Não","Não","1","Sim"
"Fauna","Répteis","Amphisbanidae","Amphisbaena uroxena","Cobra-de-duas-cabeças","Não","Sim","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Lampyridae","Amydetes bellorum","Vagalume","Sim","Não","Não","1","Sim"
"Fauna","Peixes Continentais","Rivulidae","Anablepsoides cearensis","Peixe-anual","Não","Não","Não","1","Sim"
"Fauna","Invertebrados Terrestres","Buthidae","Ananteris infuscata","Escorpião","Não","Não","Não","0","Sim"
"Flora","Angiospermas","Orchidaceae","Anathallis colnagoi","-","Não","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Anathallis gehrtii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Anathallis pabstii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Anathallis tigridens","-","Sim","Não","Não","2","Sim"
"Fauna","Peixes Continentais","Loricariidae","Ancistrus cryptophthalmus","Cascudinho-de-caverna","Sim","Não","Não","2","Sim"
"Fauna","Peixes Continentais","Loricariidae","Ancistrus formoso","Cascudo-cego","Não","Não","Não","1","Sim"
"Fauna","Peixes Continentais","Loricariidae","Ancistrus minutus","Desconhecido","Não","Sim","Sim","1","Sim"
"Flora","Angiospermas","Rutaceae","Andreadoxa flava","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Poaceae","Andropogon glaucophyllus","-","Sim","Sim","Não","2","Não"
"Flora","Pteridófitas","Anemiaceae","Anemia blechnoides","-","Sim","Não","Não","2","Sim"
"Flora","Pteridófitas","Anemiaceae","Anemia dentata","-","Não","Não","Não","1","Informação não disponível"
"Flora","Pteridófitas","Anemiaceae","Anemia gardneri","-","Sim","Não","Não","2","Sim"
"Flora","Pteridófitas","Anemiaceae","Anemia trichorhiza","-","Sim","Sim","Não","3","Não"
"Flora","Angiospermas","Bignoniaceae","Anemopaegma arvense","alecrim-do-campo; catuaba; catuaba-verdadeira; catuabinha","Sim","Sim","Não","3","Não"
"Flora","Angiospermas","Bignoniaceae","Anemopaegma mirabile","-","Não","Não","Não","1","Sim"
"Flora","Angiospermas","Plantaginaceae","Angelonia alternifolia","-","Não","Não","Não","1","Informação não disponível"
"Flora","Angiospermas","Lauraceae","Aniba ferrea","-","Sim","Não","Não","2","Não"
"Flora","Angiospermas","Lauraceae","Aniba rosaeodora","Pau - rosa","Sim","Não","Não","3","Não"
"Flora","Angiospermas","Lauraceae","Aniba santalodora","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Angiospermas","Annonaceae","Annona maritima","-","Sim","Sim","Não","2","Não"
"Flora","Angiospermas","Annonaceae","Annona parviflora","Vaovír","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Annonaceae","Annona pickelii","Araticum","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Annonaceae","Annona ubatubensis","-","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Formicidae","Anochetus oriens","Formiga","Sim","Não","Não","1","Sim"
"Fauna","Aves","Psittacidae","Anodorhynchus leari","Arara-azul-de-lear","Sim","Não","Não","3","Sim"
"Flora","Angiospermas","Poaceae","Anomochloa marantoidea","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Asteraceae","Anteremanthus hatschbachii","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Poaceae","Anthaenantiopsis fiebrigii","-","Não","Não","Não","1","Não"
"Flora","Angiospermas","Araceae","Anthurium jureianum","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Araceae","Anthurium langsdorffii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Araceae","Anthurium lucidum","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Araceae","Anthurium luschnathianum","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Araceae","Anthurium radicans","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Araceae","Anthurium xanthophylloides","-","Sim","Não","Não","2","Sim"
"Fauna","Aves","Motacillidae","Anthus nattereri","Caminheiro-grande","Sim","Sim","Não","4","Não"
"Fauna","Aves","Pipridae","Antilophia bokermanni","Soldadinho-do-araripe","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Loasaceae","Aosa uleana","-","Sim","Sim","Não","2","Sim"
"Fauna","Anfíbios","Hylidae","Aparasphenodon pomba","Perereca","Não","Sim","Não","2","Sim"
"Fauna","Peixes Continentais","Parodontidae","Apareiodon davisi","Peixe-rei","Não","Sim","Não","1","Sim"
"Fauna","Peixes Continentais","Parodontidae","Apareiodon vladii","Canivete","Não","Sim","Não","1","Sim"
"Flora","Angiospermas","Acanthaceae","Aphelandra espirito-santensis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Acanthaceae","Aphelandra margaritae","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Acanthaceae","Aphelandra maximiliana","-","Sim","Não","Não","2","Sim"
"Fauna","Peixes Continentais","Characidae","Aphyocheirodon hemigrammus","Lambari","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Poaceae","Apoclada simplex","-","Sim","Não","Não","2","Sim"
"Fauna","Répteis","Dipsadidae","Apostolepis arenaria","Cobra-rainha-do-são-francisco","Sim","Sim","Não","2","Sim"
"Fauna","Répteis","Dipsadidae","Apostolepis gaboi","Cobra-rainha-das-dunas","Sim","Sim","Não","3","Sim"
"Fauna","Répteis","Dipsadidae","Apostolepis quirogai","Desconhecido","Não","Sim","Não","2","Não"
"Fauna","Répteis","Dipsadidae","Apostolepis serrana","Cobra-rainha-da-serra-do-roncador","Não","Sim","Não","1","Sim"
"Fauna","Répteis","Dipsadidae","Apostolepis striata","Cobra-rainha-estriada","Não","Sim","Não","1","Sim"
"Fauna","Peixes Continentais","Apteronotidae","Apteronotus acidops","Sarapó","Não","Sim","Não","1","Sim"
"Fauna","Peixes Continentais","Apteronotidae","Apteronotus lindalvae","Desconhecido","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Fabaceae","Apuleia leiocarpa","Grapia; Amarelão; Garapa; cumaru cetim; mitaroá","Sim","Sim","Não","3","Não"
"Flora","Angiospermas","Fabaceae","Arachis villosa","-","Não","Não","Não","1","Não"
"Flora","Angiospermas","Bromeliaceae","Araeococcus montanus","-","Sim","Não","Não","2","Sim"
"Fauna","Aves","Psittacidae","Aratinga solstitialis","Jandaia-amarela","Sim","Sim","Não","5","Não"
"Flora","Gimnospermas","Araucariaceae","Araucaria angustifolia","araucária; pinheiro-do-paraná; curi; pinheiro-brasileiro; pinho-do-paraná","Sim","Não","Não","2","Não"
"Fauna","Invertebrados Terrestres","Lycaenidae","Arawacus aethesa","Borboleta","Não","Sim","Não","1","Sim"
"Fauna","Invertebrados Terrestres","Andrenidae","Arhysosage cactorum","Abelha","Não","Não","Não","0","Sim"
"Flora","Angiospermas","Poaceae","Aristida brasiliensis","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Poaceae","Aristida constricta","-","Sim","Não","Não","2","Não"
"Flora","Angiospermas","Aristolochiaceae","Aristolochia hypoglauca","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Aristolochiaceae","Aristolochia odora","calunga; jarrinha-cheirosa; jarrinha-de-barbelas; papo-de-peru; aipo-rasteiro","Sim","Não","Não","2","Sim"
"Fauna","Aves","Passerelidae","Arremonops conirostris","Tico-tico-cantor","Sim","Sim","Não","2","Não"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites alambariensis","Colêmbolo","Sim","Não","Não","3","Sim"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites amorimi","Colêmbolo","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites botuveraensis","Colêmbolo","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites gnaspinii","Colêmbolo","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites heteroculatus","Colêmbolo","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites lawrencei","Colêmbolo","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites paranaensis","Colêmbolo","Não","Não","Não","1","Sim"
