"Grupao","Grupo","Familia","Especie","NomeComum","AreasProtegidas","PAN","OrdenamentoPesqueiro","ProtecaoNacional","ExclusivaBrasil"
"Fauna","Peixes Continentais","Cichlidae","Crenicichla cyclostoma","Desconhecido","Não","Sim","Sim","1","Sim"
"Fauna","Peixes Continentais","Cichlidae","Crenicichla empheres","Joana","Não","Sim","Sim","1","Sim"
"Fauna","Peixes Continentais","Cichlidae","Crenicichla hadrostigma","Joana","Não","Sim","Sim","1","Não"
"Fauna","Peixes Continentais","Cichlidae","Crenicichla heckeli","Desconhecido","Não","Sim","Sim","1","Sim"
"Fauna","Peixes Continentais","Cichlidae","Crenicichla jegui","Jacundá","Não","Sim","Sim","1","Sim"
"Fauna","Peixes Continentais","Cichlidae","Crenicichla jupiaensis","Joaninha","Não","Sim","Sim","1","Não"
"Fauna","Peixes Continentais","Cichlidae","Crenicichla urosema","Sabãozinho","Sim","Sim","Sim","2","Sim"
"Fauna","Anfíbios","Hylodidae","Crossodactylus dantei","Desconhecido","Sim","Sim","Não","2","Sim"
"Fauna","Anfíbios","Hylodidae","Crossodactylus lutzorum","Desconhecido","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Euphorbiaceae","Croton leptobotryus","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus burle-marxii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus capitatus","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus caracensis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus caulescens","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus coriaceus","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus dorothyae","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus exaltatus","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus fernseeoides","-","Não","Não","Não","1","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus fosterianus","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus glazioui","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus maritimus","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus minarum","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus odoratissimus","-","Não","Não","Não","1","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus pseudoscaposus","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus roberto-kautskyi","-","Não","Não","Não","1","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus scaposus","-","Não","Não","Não","1","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus whitmanii","-","Não","Não","Não","1","Sim"
"Flora","Angiospermas","Bromeliaceae","Cryptanthus zonatus","-","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Cryptopidae","Cryptops (Cryptops) spelaeoraptor","Lacraia, centopeia","Não","Não","Não","1","Sim"
"Fauna","Invertebrados Terrestres","Cryptopidae","Cryptops (Trigonocryptops) iporangensis","Lacraia, centopeia","Não","Não","Não","1","Sim"
"Fauna","Aves","Tinamidae","Crypturellus noctivagus noctivagus","Jaó-do-sul","Sim","Sim","Não","3","Sim"
"Fauna","Aves","Tinamidae","Crypturellus noctivagus zabele","Zabelê ","Sim","Sim","Não","3","Sim"
"Fauna","Mamíferos","Ctenomyidae","Ctenomys bicolor","Tuco-tuco","Sim","Não","Não","2","Sim"
"Fauna","Mamíferos","Ctenomyidae","Ctenomys flamarioni","Tuco-tuco","Sim","Sim","Não","2","Sim"
"Fauna","Mamíferos","Ctenomyidae","Ctenomys lami","Tuco-tuco","Sim","Não","Não","2","Sim"
"Fauna","Mamíferos","Ctenomyidae","Ctenomys minutus","Tuco-tuco","Sim","Sim","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Pieridae","Cunizza hirlanda fulvinota","Borboleta","Não","Não","Não","0","Não"
"Fauna","Invertebrados Terrestres","Pieridae","Cunizza hirlanda planasia","Borboleta","Sim","Não","Não","3","Sim"
"Flora","Angiospermas","Sapindaceae","Cupania concolor","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Sapindaceae","Cupania furfuracea","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Lythraceae","Cuphea adenophylla","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Lythraceae","Cuphea arenarioides","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Lythraceae","Cuphea bahiensis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Lythraceae","Cuphea cipoensis","-","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Lythraceae","Cuphea cuiabensis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Lythraceae","Cuphea glaziovii","-","Sim","Não","Não","2","Não"
"Flora","Angiospermas","Lythraceae","Cuphea lindmaniana","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Lythraceae","Cuphea rubro-virens","-","Não","Sim","Não","2","Sim"
"Flora","Angiospermas","Lythraceae","Cuphea teleandra","-","Sim","Sim","Não","2","Sim"
"Fauna","Aves","Icteridae","Curaeus forbesi","Anumará","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Lamiaceae","Cyanocephalus apertiflorus","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Lamiaceae","Cyanocephalus caprariifolius","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Lamiaceae","Cyanocephalus delicatulus","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Lamiaceae","Cyanocephalus digitatus","-","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Lamiaceae","Cyanocephalus tagetifolius","-","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Lamiaceae","Cyanocephalus viaticus","-","Sim","Não","Não","2","Sim"
"Fauna","Aves","Corvidae","Cyanocorax hafferi","Cancão-da-campina","Sim","Sim","Não","3","Sim"
"Fauna","Aves","Psittacidae","Cyanopsitta spixii","Ararinha-azul","Não","Sim","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Cyclopogon dutrae","-","Sim","Não","Não","2","Não"
"Fauna","Anfíbios","Cycloramphidae","Cycloramphus diringshofeni","Desconhecido","Não","Sim","Não","1","Sim"
"Fauna","Anfíbios","Cycloramphidae","Cycloramphus faustoi","Desconhecido","Sim","Sim","Não","4","Sim"
"Fauna","Anfíbios","Cycloramphidae","Cycloramphus ohausi","Desconhecido","Sim","Sim","Não","4","Sim"
"Flora","Angiospermas","Orchidaceae","Cycnoches pentadactylum","-","Sim","Não","Não","2","Não"
"Fauna","Peixes Continentais","Rivulidae","Cynolebias griseus","Peixe-da-chuva","Sim","Sim","Não","2","Sim"
"Fauna","Peixes Continentais","Rivulidae","Cynolebias leptocephalus","Desconhecido","Não","Não","Não","1","Sim"
"Fauna","Peixes Continentais","Rivulidae","Cynopoecilus fulgens","Peixe-anual","Não","Não","Não","1","Sim"
"Fauna","Peixes Continentais","Rivulidae","Cynopoecilus intimus","Peixe-anual","Não","Não","Não","1","Sim"
"Fauna","Peixes Continentais","Rivulidae","Cynopoecilus multipapillatus","Peixe-anual","Não","Não","Não","1","Sim"
"Flora","Angiospermas","Cyperaceae","Cyperus atlanticus","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Cyrtopodium caiapoense","-","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Orchidaceae","Cyrtopodium hatschbachii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Cyrtopodium lamellaticallosum","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Cyrtopodium latifolium","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Cyrtopodium linearifolium","-","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Orchidaceae","Cyrtopodium lissochiloides","-","Sim","Sim","Não","4","Sim"
"Flora","Angiospermas","Orchidaceae","Cyrtopodium palmifrons","-","Sim","Sim","Não","3","Não"
"Flora","Angiospermas","Orchidaceae","Cyrtopodium poecilum var. roseum","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Orchidaceae","Cyrtopodium triste","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Burseraceae","Dacryodes edilsonii","breu; breu mescla","Sim","Não","Não","2","Informação não disponível"
"Fauna","Répteis","Dactyloidae","Dactyloa nasofrontalis","Papa-vento, Calanguinho","Não","Sim","Não","2","Sim"
"Fauna","Répteis","Dactyloidae","Dactyloa pseudotigrina","Papa-vento, Calanguinho","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Fabaceae","Dalbergia elegans","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Angiospermas","Fabaceae","Dalbergia nigra","Jacarandá-da-Bahia; Jacarandá-caviuna","Sim","Sim","Não","3","Sim"
"Flora","Angiospermas","Euphorbiaceae","Dalechampia purpurata","-","Não","Não","Não","1","Sim"
"Flora","Angiospermas","Euphorbiaceae","Dalechampia riparia","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Poaceae","Danthonia cirrata","-","Sim","Sim","Não","2","Não"
"Fauna","Peixes Marinhos","Dasyatidae","Dasyatis centroura","Raia-prego-de-cauda-áspera","Sim","Sim","Sim","2","Não"
"Fauna","Peixes Marinhos","Dasyatidae","Dasyatis colarensis","Raia","Não","Sim","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Nymphalidae","Dasyophthalma geraensis","Borboleta","Sim","Sim","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Nymphalidae","Dasyophthalma rusina delanira","Borboleta","Sim","Sim","Não","2","Sim"
