"Grupao","Grupo","Familia","Especie","NomeComum","Bioma"
"Fauna","Mamíferos","Cebidae","Sapajus cay","Macaco-prego","Pantanal"
"Fauna","Mamíferos","Cebidae","Sapajus flavius","Macaco-prego-galego","Mata Atlântica"
"Fauna","Mamíferos","Cebidae","Sapajus robustus","Macaco-prego-de crista","Cerrado"
"Fauna","Mamíferos","Cebidae","Sapajus robustus","Macaco-prego-de crista","Mata Atlântica"
"Fauna","Mamíferos","Cebidae","Sapajus xanthosternos","Macaco-prego-do-peito-amarelo","Caatinga"
"Fauna","Mamíferos","Cebidae","Sapajus xanthosternos","Macaco-prego-do-peito-amarelo","Mata Atlântica"
"Flora","Angiospermas","Marantaceae","Saranthe composita","-","Mata Atlântica"
"Flora","Angiospermas","Sapotaceae","Sarcaulus vestitus","-","Amazônia"
"Flora","Angiospermas","Orchidaceae","Sarcoglottis alexandri","-","Mata Atlântica"
"Fauna","Peixes Continentais","Anostomidae","Sartor tucuruiense","Aracu-boca-pra-cima","Amazônia"
"Fauna","Peixes Continentais","Anostomidae","Sartor tucuruiense","Aracu-boca-pra-cima","Cerrado"
"Flora","Angiospermas","Orchidaceae","Saundersia mirabilis","-","Cerrado"
"Flora","Angiospermas","Orchidaceae","Saundersia mirabilis","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Saundersia paniculata","-","Mata Atlântica"
"Flora","Angiospermas","Ochnaceae","Sauvagesia nitida","-","Cerrado"
"Fauna","Invertebrados Terrestres","Nymphalidae","Scada karschina delicata","Borboleta","Mata Atlântica"
"Fauna","Peixes Marinhos","Labridae","Scarus trispinosus","Peixe-papagaio-azul","Marinho"
"Fauna","Peixes Marinhos","Labridae","Scarus zelindae","Peixe-papagaio-banana","Marinho"
"Flora","Angiospermas","Araliaceae","Schefflera aurata","-","Mata Atlântica"
"Flora","Angiospermas","Araliaceae","Schefflera gardneri","-","Cerrado"
"Flora","Angiospermas","Araliaceae","Schefflera glaziovii","-","Cerrado"
"Flora","Angiospermas","Araliaceae","Schefflera sprucei","-","Amazônia"
