"Grupao","Grupo","Familia","Especie","NomeComum","Bioma"
"Flora","Angiospermas","Salicaceae","Abatia angeliana","-","Mata Atlântica"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","Cerrado"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","Mata Atlântica"
"Flora","Angiospermas","Malvaceae","Abutilon anodoides","-","Mata Atlântica"
"Flora","Angiospermas","Malvaceae","Abutilon nigricans","-","Mata Atlântica"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","Cerrado"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","Cerrado"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis mourei","Libélula","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","Mata Atlântica"
"Flora","Angiospermas","Plantaginaceae","Achetaria caparaoense","-","Mata Atlântica"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","Mata Atlântica"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Acianthera adiri","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Acianthera langeana","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","Pampa"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","Caatinga"
"Flora","Angiospermas","Asteraceae","Acritopappus connatifolius","-","Caatinga"
"Flora","Angiospermas","Asteraceae","Acritopappus irwinii","-","Caatinga"
"Flora","Angiospermas","Asteraceae","Acritopappus irwinii","-","Cerrado"
"Flora","Angiospermas","Asteraceae","Acritopappus pintoi","-","Caatinga"
"Fauna","Aves","Furnariidae","Acrobatornis fonsecai","Acrobata","Mata Atlântica"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","Cerrado"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus cipoensis","-","Cerrado"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus claussenianus","-","Cerrado"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote quadra","Borboleta-palha","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote zikani","Borboleta","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Adamantinia miltonioides","-","Caatinga"
"Fauna","Invertebrados Terrestres","Baetidae","Adebrotus lugoi","Siriruia","Mata Atlântica"
"Fauna","Anfíbios","Eleutherodactylidae","Adelophryne maranguapensis","Desconhecido","Caatinga"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","Caatinga"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma fruticosum","-","Cerrado"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma magnoalatum","-","Mata Atlântica"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma ubatubense","-","Mata Atlântica"
"Flora","Angiospermas","Euphorbiaceae","Adenophaedra cearensis","-","Mata Atlântica"
"Flora","Pteridófitas","Pteridaceae","Adiantum diphyllum","-","Mata Atlântica"
"Flora","Pteridófitas","Pteridaceae","Adiantum discolor","-","Mata Atlântica"
"Flora","Pteridófitas","Pteridaceae","Adiantum mynsseniae","-","Mata Atlântica"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","Mata Atlântica"
"Flora","Pteridófitas","Pteridaceae","Adiantum tetragonum","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea alopecurus","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea amicorum","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea azurea","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea bambusoides","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea cariocae","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea castanea","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea depressa","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea echinata","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea fosteriana","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea gustavoi","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea kertesziae","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea kleinii","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea macrochlamys","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea marginalis","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea muricata","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea mutica","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea orlandiana","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea sphaerocephala","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea triangularis","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea vanhoutteana","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea werdermannii","-","Caatinga"
"Flora","Angiospermas","Bromeliaceae","Aechmea werdermannii","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Aechmea winkleri","-","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla brevipalma","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla camargoi","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla cavernicola","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla franca","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla grisella","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inconspicua","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inconspicua","Egla","Pampa"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inermis","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inermis","Egla","Pampa"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla itacolomiensis","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla itacolomiensis","Egla","Pampa"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla lata","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leachi","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptochela","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptodactyla","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla ligulata","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla manuinflata","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla manuinflata","Egla","Pampa"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla microphthalma","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla oblata","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla obstipa","Egla","Pampa"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla perobae","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla plana","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla plana","Egla","Pampa"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla pomerana","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla renana","Egla","Pampa"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla rossiana","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla rossiana","Egla","Pampa"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinipalma","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinipalma","Egla","Pampa"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinosa","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla strinatii","Egla","Mata Atlântica"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla violacea","Egla","Pampa"
"Flora","Angiospermas","Fabaceae","Aeschynomene fructipendula","-","Mata Atlântica"
"Flora","Angiospermas","Fabaceae","Aeschynomene laca-buendiana","-","Cerrado"
"Flora","Angiospermas","Orobanchaceae","Agalinis bandeirensis","-","Mata Atlântica"
"Flora","Angiospermas","Orobanchaceae","Agalinis brachyphylla","-","Cerrado"
"Flora","Angiospermas","Orobanchaceae","Agalinis itambensis","-","Cerrado"
"Flora","Angiospermas","Orobanchaceae","Agalinis nana","-","Cerrado"
"Flora","Angiospermas","Orobanchaceae","Agalinis ramulifera","-","Mata Atlântica"
"Flora","Angiospermas","Orobanchaceae","Agalinis schwackeana","-","Cerrado"
"Fauna","Anfíbios","Hylidae","Agalychnis granulosa","Desconhecido","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Agrianthus almasensis","-","Cerrado"
"Flora","Angiospermas","Asteraceae","Agrianthus giuliettiae","-","Caatinga"
"Flora","Angiospermas","Asteraceae","Agrianthus giuliettiae","-","Cerrado"
"Flora","Angiospermas","Poaceae","Agrostis lenis","-","Mata Atlântica"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","Mata Atlântica"
"Fauna","Peixes Continentais","Pimelodidae","Aguarunichthys tocantinsensis","Bagre","Amazônia"
"Fauna","Peixes Continentais","Pimelodidae","Aguarunichthys tocantinsensis","Bagre","Cerrado"
"Flora","Angiospermas","Lauraceae","Aiouea benthamiana","louro rosa","Amazônia"
"Flora","Angiospermas","Lauraceae","Aiouea bracteata","-","Cerrado"
"Flora","Angiospermas","Lauraceae","Aiouea bracteata","-","Mata Atlântica"
"Flora","Angiospermas","Lauraceae","Aiouea lehmannii","-","Amazônia"
"Fauna","Mamíferos","Cricetidae","Akodon mystax","Rato-do-chão","Mata Atlântica"
"Flora","Pteridófitas","Polypodiaceae","Alansmia senilis","-","Amazônia"
"Flora","Pteridófitas","Polypodiaceae","Alansmia senilis","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Alatiglossum croesus","-","Mata Atlântica"
"Flora","Angiospermas","Fabaceae","Albizia burkartiana","Angico-branco","Mata Atlântica"
"Flora","Angiospermas","Fabaceae","Albizia glabripetala","-","Amazônia"
"Flora","Angiospermas","Bromeliaceae","Alcantarea benzingii","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Alcantarea duarteana","-","Cerrado"
"Flora","Angiospermas","Bromeliaceae","Alcantarea farneyi","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Alcantarea geniculata","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Alcantarea glaziouana","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Alcantarea imperialis","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Alcantarea nahoumii","-","Caatinga"
"Flora","Angiospermas","Bromeliaceae","Alcantarea nahoumii","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Alcantarea nevaresii","-","Mata Atlântica"
"Flora","Angiospermas","Bromeliaceae","Alcantarea vinicolor","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Aldama corumbensis","-","Cerrado"
"Flora","Angiospermas","Asteraceae","Aldama filifolia","-","Cerrado"
"Flora","Angiospermas","Asteraceae","Aldama goyazii","-","Cerrado"
"Flora","Angiospermas","Asteraceae","Aldama linearifolia","-","Cerrado"
"Flora","Angiospermas","Asteraceae","Aldama paranensis","-","Cerrado"
"Flora","Angiospermas","Asteraceae","Aldama vernonioides","-","Cerrado"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","Cerrado"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","Mata Atlântica"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","Pantanal"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron prominens","Mariposa","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron ypanemae","Mariposa","Mata Atlântica"
"Flora","Angiospermas","Euphorbiaceae","Algernonia dimitrii","-","Mata Atlântica"
"Flora","Angiospermas","Euphorbiaceae","Algernonia kuhlmannii","sabiá; pau de leite","Mata Atlântica"
"Flora","Angiospermas","Arecaceae","Allagoptera brevicalyx","Cachandó","Caatinga"
"Flora","Angiospermas","Arecaceae","Allagoptera brevicalyx","Cachandó","Mata Atlântica"
"Fauna","Anfíbios","Aromobatidae","Allobates brunneus","Desconhecido","Cerrado"
"Fauna","Anfíbios","Aromobatidae","Allobates goianus","Desconhecido","Cerrado"
"Fauna","Anfíbios","Aromobatidae","Allobates olfersioides","Desconhecido","Mata Atlântica"
"Flora","Angiospermas","Rutaceae","Almeidea coerulea","-","Mata Atlântica"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","Marinho"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","Marinho"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","Amazônia"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","Mata Atlântica"
"Fauna","Mamíferos","Atelidae","Alouatta discolor","Guariba-de-mãos-ruivas","Amazônia"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","Cerrado"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","Mata Atlântica"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","Pampa"
"Fauna","Mamíferos","Atelidae","Alouatta guariba guariba","Bugio-marrom","Mata Atlântica"
"Fauna","Mamíferos","Atelidae","Alouatta ululata","Guariba","Caatinga"
"Fauna","Mamíferos","Atelidae","Alouatta ululata","Guariba","Cerrado"
"Flora","Angiospermas","Verbenaceae","Aloysia hatschbachii","-","Mata Atlântica"
"Flora","Angiospermas","Rubiaceae","Alseis involuta","-","Caatinga"
"Flora","Angiospermas","Rubiaceae","Alseis involuta","-","Mata Atlântica"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria amabilis","-","Mata Atlântica"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria brasiliensis","-","Cerrado"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria capixaba","-","Mata Atlântica"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria caryophyllaea","-","Mata Atlântica"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria malmeana","-","Mata Atlântica"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria orchidioides","-","Cerrado"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria penduliflora","-","Cerrado"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria penduliflora","-","Mata Atlântica"
"Flora","Angiospermas","Amaranthaceae","Alternanthera decurrens","-","Cerrado"
"Flora","Angiospermas","Amaranthaceae","Alternanthera hirtula","-","Mata Atlântica"
"Flora","Angiospermas","Amaranthaceae","Alternanthera hirtula","-","Pampa"
"Flora","Angiospermas","Amaranthaceae","Alternanthera januarensis","-","Cerrado"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus campoi","Besouro-tesoura","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus dulceae","Besouro-tesoura","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus godinhorum","Besouro-tesoura","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus koikei","Besouro-tesoura","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus rotundatus","Besouro-tesoura","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus ruficollis","Besouro-tesoura","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus trifurcatus","Besouro-tesoura","Mata Atlântica"
"Flora","Angiospermas","Poaceae","Altoparadisium chapadense","-","Cerrado"
"Fauna","Aves","Accipitridae","Amadonastur lacernulatus","Gavião-pombo-pequeno ","Caatinga"
"Fauna","Aves","Accipitridae","Amadonastur lacernulatus","Gavião-pombo-pequeno ","Cerrado"
"Fauna","Aves","Accipitridae","Amadonastur lacernulatus","Gavião-pombo-pequeno ","Mata Atlântica"
"Flora","Angiospermas","Amaranthaceae","Amaranthus rosengurtii","-","Pampa"
"Fauna","Aves","Psittacidae","Amazona pretrei","Papagaio-charão","Mata Atlântica"
"Fauna","Aves","Psittacidae","Amazona pretrei","Papagaio-charão","Pampa"
"Fauna","Aves","Psittacidae","Amazona rhodocorytha","Chauá","Mata Atlântica"
"Fauna","Aves","Psittacidae","Amazona vinacea","Papagaio-de-peito-roxo","Caatinga"
"Fauna","Aves","Psittacidae","Amazona vinacea","Papagaio-de-peito-roxo","Cerrado"
"Fauna","Aves","Psittacidae","Amazona vinacea","Papagaio-de-peito-roxo","Mata Atlântica"
"Flora","Angiospermas","Fabaceae","Amburana acreana","cerejeira; cumaru de cheiro","Amazônia"
"Fauna","Répteis","Teiidae","Ameiva parecis","Calango","Amazônia"
"Fauna","Répteis","Teiidae","Ameiva parecis","Calango","Cerrado"
"Fauna","Répteis","Teiidae","Ameivula abaetensis","Lagartinho-de-abaeté","Mata Atlântica"
"Fauna","Répteis","Teiidae","Ameivula littoralis","Lagarto-da-cauda-verde","Mata Atlântica"
"Fauna","Répteis","Teiidae","Ameivula nativo","Lagartinho-de-linhares","Mata Atlântica"
"Fauna","Répteis","Typhlopidae","Amerotyphlops amoipira","Cobra-cega-das-dunas","Caatinga"
"Fauna","Répteis","Typhlopidae","Amerotyphlops amoipira","Cobra-cega-das-dunas","Cerrado"
"Fauna","Répteis","Typhlopidae","Amerotyphlops paucisquamus","Desconhecido","Mata Atlântica"
"Fauna","Répteis","Typhlopidae","Amerotyphlops yonenagae","Cobra-cega-do-são-francisco","Caatinga"
"Fauna","Répteis","Amphisbanidae","Amphisbaena arda","Cobra-de-duas-cabeças","Caatinga"
"Fauna","Répteis","Amphisbanidae","Amphisbaena arda","Cobra-de-duas-cabeças","Cerrado"
"Fauna","Répteis","Amphisbanidae","Amphisbaena frontalis","Cobra-de-duas-cabeças","Caatinga"
"Fauna","Répteis","Amphisbanidae","Amphisbaena frontalis","Cobra-de-duas-cabeças","Cerrado"
"Fauna","Répteis","Amphisbanidae","Amphisbaena nigricauda","Cobra-de-duas-cabeças","Mata Atlântica"
"Fauna","Répteis","Amphisbanidae","Amphisbaena supernumeraria","Cobra-de-duas-cabeças","Caatinga"
"Fauna","Répteis","Amphisbanidae","Amphisbaena uroxena","Cobra-de-duas-cabeças","Caatinga"
"Fauna","Répteis","Amphisbanidae","Amphisbaena uroxena","Cobra-de-duas-cabeças","Cerrado"
"Fauna","Invertebrados Terrestres","Lampyridae","Amydetes bellorum","Vagalume","Mata Atlântica"
"Fauna","Peixes Continentais","Rivulidae","Anablepsoides cearensis","Peixe-anual","Caatinga"
"Fauna","Invertebrados Terrestres","Buthidae","Ananteris infuscata","Escorpião","Cerrado"
"Fauna","Invertebrados Terrestres","Buthidae","Ananteris infuscata","Escorpião","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Anathallis colnagoi","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Anathallis gehrtii","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Anathallis pabstii","-","Mata Atlântica"
"Flora","Angiospermas","Orchidaceae","Anathallis tigridens","-","Mata Atlântica"
"Fauna","Peixes Continentais","Loricariidae","Ancistrus cryptophthalmus","Cascudinho-de-caverna","Cerrado"
"Fauna","Peixes Continentais","Loricariidae","Ancistrus formoso","Cascudo-cego","Cerrado"
"Fauna","Peixes Continentais","Loricariidae","Ancistrus minutus","Desconhecido","Cerrado"
"Flora","Angiospermas","Rutaceae","Andreadoxa flava","-","Mata Atlântica"
"Flora","Angiospermas","Poaceae","Andropogon glaucophyllus","-","Mata Atlântica"
"Flora","Angiospermas","Poaceae","Andropogon glaucophyllus","-","Pampa"
"Flora","Pteridófitas","Anemiaceae","Anemia blechnoides","-","Mata Atlântica"
"Flora","Pteridófitas","Anemiaceae","Anemia dentata","-","Cerrado"
"Flora","Pteridófitas","Anemiaceae","Anemia gardneri","-","Mata Atlântica"
"Flora","Pteridófitas","Anemiaceae","Anemia trichorhiza","-","Cerrado"
"Flora","Pteridófitas","Anemiaceae","Anemia trichorhiza","-","Pantanal"
"Flora","Angiospermas","Bignoniaceae","Anemopaegma arvense","alecrim-do-campo; catuaba; catuaba-verdadeira; catuabinha","Cerrado"
"Flora","Angiospermas","Bignoniaceae","Anemopaegma mirabile","-","Cerrado"
"Flora","Angiospermas","Plantaginaceae","Angelonia alternifolia","-","Cerrado"
"Flora","Angiospermas","Lauraceae","Aniba ferrea","-","Amazônia"
"Flora","Angiospermas","Lauraceae","Aniba rosaeodora","Pau - rosa","Amazônia"
"Flora","Angiospermas","Lauraceae","Aniba santalodora","-","Amazônia"
"Flora","Angiospermas","Annonaceae","Annona maritima","-","Mata Atlântica"
"Flora","Angiospermas","Annonaceae","Annona parviflora","Vaovír","Mata Atlântica"
"Flora","Angiospermas","Annonaceae","Annona pickelii","Araticum","Mata Atlântica"
"Flora","Angiospermas","Annonaceae","Annona ubatubensis","-","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Formicidae","Anochetus oriens","Formiga","Mata Atlântica"
"Fauna","Aves","Psittacidae","Anodorhynchus leari","Arara-azul-de-lear","Caatinga"
"Flora","Angiospermas","Poaceae","Anomochloa marantoidea","-","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Anteremanthus hatschbachii","-","Cerrado"
"Flora","Angiospermas","Poaceae","Anthaenantiopsis fiebrigii","-","Cerrado"
"Flora","Angiospermas","Araceae","Anthurium jureianum","-","Mata Atlântica"
"Flora","Angiospermas","Araceae","Anthurium langsdorffii","-","Mata Atlântica"
"Flora","Angiospermas","Araceae","Anthurium lucidum","-","Mata Atlântica"
"Flora","Angiospermas","Araceae","Anthurium luschnathianum","-","Mata Atlântica"
"Flora","Angiospermas","Araceae","Anthurium radicans","-","Mata Atlântica"
"Flora","Angiospermas","Araceae","Anthurium xanthophylloides","-","Mata Atlântica"
"Fauna","Aves","Motacillidae","Anthus nattereri","Caminheiro-grande","Cerrado"
"Fauna","Aves","Motacillidae","Anthus nattereri","Caminheiro-grande","Mata Atlântica"
"Fauna","Aves","Motacillidae","Anthus nattereri","Caminheiro-grande","Pampa"
"Fauna","Aves","Pipridae","Antilophia bokermanni","Soldadinho-do-araripe","Caatinga"
"Flora","Angiospermas","Loasaceae","Aosa uleana","-","Mata Atlântica"
"Fauna","Anfíbios","Hylidae","Aparasphenodon pomba","Perereca","Mata Atlântica"
"Fauna","Peixes Continentais","Parodontidae","Apareiodon davisi","Peixe-rei","Caatinga"
"Fauna","Peixes Continentais","Parodontidae","Apareiodon vladii","Canivete","Mata Atlântica"
"Flora","Angiospermas","Acanthaceae","Aphelandra espirito-santensis","-","Mata Atlântica"
"Flora","Angiospermas","Acanthaceae","Aphelandra margaritae","-","Mata Atlântica"
"Flora","Angiospermas","Acanthaceae","Aphelandra maximiliana","-","Mata Atlântica"
"Fauna","Peixes Continentais","Characidae","Aphyocheirodon hemigrammus","Lambari","Cerrado"
"Fauna","Peixes Continentais","Characidae","Aphyocheirodon hemigrammus","Lambari","Mata Atlântica"
"Flora","Angiospermas","Poaceae","Apoclada simplex","-","Mata Atlântica"
"Fauna","Répteis","Dipsadidae","Apostolepis arenaria","Cobra-rainha-do-são-francisco","Caatinga"
"Fauna","Répteis","Dipsadidae","Apostolepis gaboi","Cobra-rainha-das-dunas","Caatinga"
"Fauna","Répteis","Dipsadidae","Apostolepis gaboi","Cobra-rainha-das-dunas","Cerrado"
"Fauna","Répteis","Dipsadidae","Apostolepis quirogai","Desconhecido","Mata Atlântica"
"Fauna","Répteis","Dipsadidae","Apostolepis quirogai","Desconhecido","Pampa"
"Fauna","Répteis","Dipsadidae","Apostolepis serrana","Cobra-rainha-da-serra-do-roncador","Amazônia"
"Fauna","Répteis","Dipsadidae","Apostolepis serrana","Cobra-rainha-da-serra-do-roncador","Cerrado"
"Fauna","Répteis","Dipsadidae","Apostolepis striata","Cobra-rainha-estriada","Amazônia"
"Fauna","Répteis","Dipsadidae","Apostolepis striata","Cobra-rainha-estriada","Cerrado"
"Fauna","Peixes Continentais","Apteronotidae","Apteronotus acidops","Sarapó","Mata Atlântica"
"Fauna","Peixes Continentais","Apteronotidae","Apteronotus lindalvae","Desconhecido","Amazônia"
"Flora","Angiospermas","Fabaceae","Apuleia leiocarpa","Grapia; Amarelão; Garapa; cumaru cetim; mitaroá","Amazônia"
"Flora","Angiospermas","Fabaceae","Apuleia leiocarpa","Grapia; Amarelão; Garapa; cumaru cetim; mitaroá","Caatinga"
"Flora","Angiospermas","Fabaceae","Apuleia leiocarpa","Grapia; Amarelão; Garapa; cumaru cetim; mitaroá","Cerrado"
"Flora","Angiospermas","Fabaceae","Apuleia leiocarpa","Grapia; Amarelão; Garapa; cumaru cetim; mitaroá","Mata Atlântica"
"Flora","Angiospermas","Fabaceae","Arachis villosa","-","Pampa"
"Flora","Angiospermas","Bromeliaceae","Araeococcus montanus","-","Mata Atlântica"
"Fauna","Aves","Psittacidae","Aratinga solstitialis","Jandaia-amarela","Amazônia"
"Flora","Gimnospermas","Araucariaceae","Araucaria angustifolia","araucária; pinheiro-do-paraná; curi; pinheiro-brasileiro; pinho-do-paraná","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Lycaenidae","Arawacus aethesa","Borboleta","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Andrenidae","Arhysosage cactorum","Abelha","Pampa"
"Flora","Angiospermas","Poaceae","Aristida brasiliensis","-","Cerrado"
"Flora","Angiospermas","Poaceae","Aristida brasiliensis","-","Mata Atlântica"
"Flora","Angiospermas","Poaceae","Aristida constricta","-","Pampa"
"Flora","Angiospermas","Aristolochiaceae","Aristolochia hypoglauca","-","Mata Atlântica"
"Flora","Angiospermas","Aristolochiaceae","Aristolochia odora","calunga; jarrinha-cheirosa; jarrinha-de-barbelas; papo-de-peru; aipo-rasteiro","Mata Atlântica"
"Fauna","Aves","Passerelidae","Arremonops conirostris","Tico-tico-cantor","Amazônia"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites alambariensis","Colêmbolo","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites amorimi","Colêmbolo","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites botuveraensis","Colêmbolo","Mata Atlântica"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites gnaspinii","Colêmbolo","Mata Atlântica"
