"Grupao","Grupo","Familia","Especie","NomeComum","CategoriaAmeaca"
"Flora","Angiospermas","Salicaceae","Abatia angeliana","-","Vulnerável (VU)"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","Em Perigo (EN)"
"Flora","Angiospermas","Malvaceae","Abutilon anodoides","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Malvaceae","Abutilon nigricans","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","Vulnerável (VU)"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis mourei","Libélula","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","Em Perigo (EN)"
"Flora","Angiospermas","Plantaginaceae","Achetaria caparaoense","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","Criticamente em Perigo (CR)"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","Vulnerável (VU)"
"Flora","Angiospermas","Orchidaceae","Acianthera adiri","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Orchidaceae","Acianthera langeana","-","Em Perigo (EN)"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Acritopappus connatifolius","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Acritopappus irwinii","-","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Acritopappus pintoi","-","Criticamente em Perigo (CR)"
"Fauna","Aves","Furnariidae","Acrobatornis fonsecai","Acrobata","Vulnerável (VU)"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","Vulnerável (VU)"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus cipoensis","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus claussenianus","-","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote quadra","Borboleta-palha","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote zikani","Borboleta","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Orchidaceae","Adamantinia miltonioides","-","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Baetidae","Adebrotus lugoi","Siriruia","Vulnerável (VU)"
"Fauna","Anfíbios","Eleutherodactylidae","Adelophryne maranguapensis","Desconhecido","Vulnerável (VU)"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","Em Perigo (EN)"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma fruticosum","-","Em Perigo (EN)"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma magnoalatum","-","Em Perigo (EN)"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma ubatubense","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Euphorbiaceae","Adenophaedra cearensis","-","Criticamente em Perigo (CR)"
"Flora","Pteridófitas","Pteridaceae","Adiantum diphyllum","-","Criticamente em Perigo (CR)"
"Flora","Pteridófitas","Pteridaceae","Adiantum discolor","-","Em Perigo (EN)"
"Flora","Pteridófitas","Pteridaceae","Adiantum mynsseniae","-","Em Perigo (EN)"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","Em Perigo (EN)"
"Flora","Pteridófitas","Pteridaceae","Adiantum tetragonum","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea alopecurus","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea amicorum","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","Vulnerável (VU)"
"Flora","Angiospermas","Bromeliaceae","Aechmea azurea","-","Vulnerável (VU)"
"Flora","Angiospermas","Bromeliaceae","Aechmea bambusoides","-","Vulnerável (VU)"
"Flora","Angiospermas","Bromeliaceae","Aechmea cariocae","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea castanea","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea depressa","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea echinata","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea fosteriana","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea gustavoi","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Aechmea kertesziae","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea kleinii","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea macrochlamys","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea marginalis","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Aechmea muricata","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea mutica","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea orlandiana","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Aechmea sphaerocephala","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea triangularis","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea vanhoutteana","-","Vulnerável (VU)"
"Flora","Angiospermas","Bromeliaceae","Aechmea werdermannii","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Aechmea winkleri","-","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla brevipalma","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla camargoi","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla cavernicola","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla franca","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla grisella","Egla","Vulnerável (VU)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inconspicua","Egla","Vulnerável (VU)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inermis","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla itacolomiensis","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla lata","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leachi","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptochela","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptodactyla","Egla","Vulnerável (VU)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla ligulata","Egla","Vulnerável (VU)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla manuinflata","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla microphthalma","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla oblata","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla obstipa","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla perobae","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla plana","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla pomerana","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla renana","Egla","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla rossiana","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinipalma","Egla","Vulnerável (VU)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinosa","Egla","Vulnerável (VU)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla strinatii","Egla","Em Perigo (EN)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla violacea","Egla","Em Perigo (EN)"
"Flora","Angiospermas","Fabaceae","Aeschynomene fructipendula","-","Em Perigo (EN)"
"Flora","Angiospermas","Fabaceae","Aeschynomene laca-buendiana","-","Em Perigo (EN)"
"Flora","Angiospermas","Orobanchaceae","Agalinis bandeirensis","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Orobanchaceae","Agalinis brachyphylla","-","Vulnerável (VU)"
"Flora","Angiospermas","Orobanchaceae","Agalinis itambensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Orobanchaceae","Agalinis nana","-","Em Perigo (EN)"
"Flora","Angiospermas","Orobanchaceae","Agalinis ramulifera","-","Em Perigo (EN)"
"Flora","Angiospermas","Orobanchaceae","Agalinis schwackeana","-","Criticamente em Perigo (CR)"
"Fauna","Anfíbios","Hylidae","Agalychnis granulosa","Desconhecido","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Agrianthus almasensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Agrianthus giuliettiae","-","Em Perigo (EN)"
"Flora","Angiospermas","Poaceae","Agrostis lenis","-","Vulnerável (VU)"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","Em Perigo (EN)"
"Fauna","Peixes Continentais","Pimelodidae","Aguarunichthys tocantinsensis","Bagre","Em Perigo (EN)"
"Flora","Angiospermas","Lauraceae","Aiouea benthamiana","louro rosa","Em Perigo (EN)"
"Flora","Angiospermas","Lauraceae","Aiouea bracteata","-","Vulnerável (VU)"
"Flora","Angiospermas","Lauraceae","Aiouea lehmannii","-","Em Perigo (EN)"
"Fauna","Mamíferos","Cricetidae","Akodon mystax","Rato-do-chão","Vulnerável (VU)"
"Flora","Pteridófitas","Polypodiaceae","Alansmia senilis","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Orchidaceae","Alatiglossum croesus","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Fabaceae","Albizia burkartiana","Angico-branco","Vulnerável (VU)"
"Flora","Angiospermas","Fabaceae","Albizia glabripetala","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Alcantarea benzingii","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Alcantarea duarteana","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Alcantarea farneyi","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Alcantarea geniculata","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Alcantarea glaziouana","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Alcantarea imperialis","-","Vulnerável (VU)"
"Flora","Angiospermas","Bromeliaceae","Alcantarea nahoumii","-","Vulnerável (VU)"
"Flora","Angiospermas","Bromeliaceae","Alcantarea nevaresii","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Alcantarea vinicolor","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Aldama corumbensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Aldama filifolia","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Aldama goyazii","-","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Aldama linearifolia","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Asteraceae","Aldama paranensis","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Asteraceae","Aldama vernonioides","-","Em Perigo (EN)"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron prominens","Mariposa","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron ypanemae","Mariposa","Em Perigo (EN)"
"Flora","Angiospermas","Euphorbiaceae","Algernonia dimitrii","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Euphorbiaceae","Algernonia kuhlmannii","sabiá; pau de leite","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Arecaceae","Allagoptera brevicalyx","Cachandó","Vulnerável (VU)"
"Fauna","Anfíbios","Aromobatidae","Allobates brunneus","Desconhecido","Criticamente em Perigo (CR)"
"Fauna","Anfíbios","Aromobatidae","Allobates goianus","Desconhecido","Em Perigo (EN)"
"Fauna","Anfíbios","Aromobatidae","Allobates olfersioides","Desconhecido","Vulnerável (VU)"
"Flora","Angiospermas","Rutaceae","Almeidea coerulea","-","Em Perigo (EN)"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","Vulnerável (VU)"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","Vulnerável (VU)"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","Vulnerável (VU)"
"Fauna","Mamíferos","Atelidae","Alouatta discolor","Guariba-de-mãos-ruivas","Vulnerável (VU)"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","Vulnerável (VU)"
"Fauna","Mamíferos","Atelidae","Alouatta guariba guariba","Bugio-marrom","Criticamente em Perigo (CR)"
"Fauna","Mamíferos","Atelidae","Alouatta ululata","Guariba","Em Perigo (EN)"
"Flora","Angiospermas","Verbenaceae","Aloysia hatschbachii","-","Em Perigo (EN)"
"Flora","Angiospermas","Rubiaceae","Alseis involuta","-","Vulnerável (VU)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria amabilis","-","Em Perigo (EN)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria brasiliensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria capixaba","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria caryophyllaea","-","Em Perigo (EN)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria malmeana","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria orchidioides","-","Em Perigo (EN)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria penduliflora","-","Em Perigo (EN)"
"Flora","Angiospermas","Amaranthaceae","Alternanthera decurrens","-","Em Perigo (EN)"
"Flora","Angiospermas","Amaranthaceae","Alternanthera hirtula","-","Vulnerável (VU)"
"Flora","Angiospermas","Amaranthaceae","Alternanthera januarensis","-","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus campoi","Besouro-tesoura","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus dulceae","Besouro-tesoura","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus godinhorum","Besouro-tesoura","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus koikei","Besouro-tesoura","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus rotundatus","Besouro-tesoura","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus ruficollis","Besouro-tesoura","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus trifurcatus","Besouro-tesoura","Vulnerável (VU)"
"Flora","Angiospermas","Poaceae","Altoparadisium chapadense","-","Criticamente em Perigo (CR)"
"Fauna","Aves","Accipitridae","Amadonastur lacernulatus","Gavião-pombo-pequeno ","Vulnerável (VU)"
"Flora","Angiospermas","Amaranthaceae","Amaranthus rosengurtii","-","Em Perigo (EN)"
"Fauna","Aves","Psittacidae","Amazona pretrei","Papagaio-charão","Vulnerável (VU)"
"Fauna","Aves","Psittacidae","Amazona rhodocorytha","Chauá","Vulnerável (VU)"
"Fauna","Aves","Psittacidae","Amazona vinacea","Papagaio-de-peito-roxo","Vulnerável (VU)"
"Flora","Angiospermas","Fabaceae","Amburana acreana","cerejeira; cumaru de cheiro","Vulnerável (VU)"
"Fauna","Répteis","Teiidae","Ameiva parecis","Calango","Em Perigo (EN)"
"Fauna","Répteis","Teiidae","Ameivula abaetensis","Lagartinho-de-abaeté","Em Perigo (EN)"
"Fauna","Répteis","Teiidae","Ameivula littoralis","Lagarto-da-cauda-verde","Em Perigo (EN)"
"Fauna","Répteis","Teiidae","Ameivula nativo","Lagartinho-de-linhares","Em Perigo (EN)"
"Fauna","Répteis","Typhlopidae","Amerotyphlops amoipira","Cobra-cega-das-dunas","Em Perigo (EN)"
"Fauna","Répteis","Typhlopidae","Amerotyphlops paucisquamus","Desconhecido","Vulnerável (VU)"
"Fauna","Répteis","Typhlopidae","Amerotyphlops yonenagae","Cobra-cega-do-são-francisco","Em Perigo (EN)"
"Fauna","Répteis","Amphisbanidae","Amphisbaena arda","Cobra-de-duas-cabeças","Em Perigo (EN)"
"Fauna","Répteis","Amphisbanidae","Amphisbaena frontalis","Cobra-de-duas-cabeças","Em Perigo (EN)"
"Fauna","Répteis","Amphisbanidae","Amphisbaena nigricauda","Cobra-de-duas-cabeças","Em Perigo (EN)"
"Fauna","Répteis","Amphisbanidae","Amphisbaena supernumeraria","Cobra-de-duas-cabeças","Em Perigo (EN)"
"Fauna","Répteis","Amphisbanidae","Amphisbaena uroxena","Cobra-de-duas-cabeças","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Lampyridae","Amydetes bellorum","Vagalume","Em Perigo (EN)"
"Fauna","Peixes Continentais","Rivulidae","Anablepsoides cearensis","Peixe-anual","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Buthidae","Ananteris infuscata","Escorpião","Em Perigo (EN)"
"Flora","Angiospermas","Orchidaceae","Anathallis colnagoi","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Orchidaceae","Anathallis gehrtii","-","Vulnerável (VU)"
"Flora","Angiospermas","Orchidaceae","Anathallis pabstii","-","Em Perigo (EN)"
"Flora","Angiospermas","Orchidaceae","Anathallis tigridens","-","Vulnerável (VU)"
"Fauna","Peixes Continentais","Loricariidae","Ancistrus cryptophthalmus","Cascudinho-de-caverna","Em Perigo (EN)"
"Fauna","Peixes Continentais","Loricariidae","Ancistrus formoso","Cascudo-cego","Vulnerável (VU)"
"Fauna","Peixes Continentais","Loricariidae","Ancistrus minutus","Desconhecido","Em Perigo (EN)"
"Flora","Angiospermas","Rutaceae","Andreadoxa flava","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Poaceae","Andropogon glaucophyllus","-","Em Perigo (EN)"
"Flora","Pteridófitas","Anemiaceae","Anemia blechnoides","-","Vulnerável (VU)"
"Flora","Pteridófitas","Anemiaceae","Anemia dentata","-","Vulnerável (VU)"
"Flora","Pteridófitas","Anemiaceae","Anemia gardneri","-","Vulnerável (VU)"
"Flora","Pteridófitas","Anemiaceae","Anemia trichorhiza","-","Vulnerável (VU)"
"Flora","Angiospermas","Bignoniaceae","Anemopaegma arvense","alecrim-do-campo; catuaba; catuaba-verdadeira; catuabinha","Em Perigo (EN)"
"Flora","Angiospermas","Bignoniaceae","Anemopaegma mirabile","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Plantaginaceae","Angelonia alternifolia","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Lauraceae","Aniba ferrea","-","Vulnerável (VU)"
"Flora","Angiospermas","Lauraceae","Aniba rosaeodora","Pau - rosa","Em Perigo (EN)"
"Flora","Angiospermas","Lauraceae","Aniba santalodora","-","Vulnerável (VU)"
"Flora","Angiospermas","Annonaceae","Annona maritima","-","Vulnerável (VU)"
"Flora","Angiospermas","Annonaceae","Annona parviflora","Vaovír","Em Perigo (EN)"
"Flora","Angiospermas","Annonaceae","Annona pickelii","Araticum","Vulnerável (VU)"
"Flora","Angiospermas","Annonaceae","Annona ubatubensis","-","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Formicidae","Anochetus oriens","Formiga","Vulnerável (VU)"
"Fauna","Aves","Psittacidae","Anodorhynchus leari","Arara-azul-de-lear","Em Perigo (EN)"
"Flora","Angiospermas","Poaceae","Anomochloa marantoidea","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Anteremanthus hatschbachii","-","Em Perigo (EN)"
"Flora","Angiospermas","Poaceae","Anthaenantiopsis fiebrigii","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Araceae","Anthurium jureianum","-","Vulnerável (VU)"
"Flora","Angiospermas","Araceae","Anthurium langsdorffii","-","Em Perigo (EN)"
"Flora","Angiospermas","Araceae","Anthurium lucidum","-","Em Perigo (EN)"
"Flora","Angiospermas","Araceae","Anthurium luschnathianum","-","Em Perigo (EN)"
"Flora","Angiospermas","Araceae","Anthurium radicans","-","Vulnerável (VU)"
"Flora","Angiospermas","Araceae","Anthurium xanthophylloides","-","Vulnerável (VU)"
"Fauna","Aves","Motacillidae","Anthus nattereri","Caminheiro-grande","Vulnerável (VU)"
"Fauna","Aves","Pipridae","Antilophia bokermanni","Soldadinho-do-araripe","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Loasaceae","Aosa uleana","-","Criticamente em Perigo (CR)"
"Fauna","Anfíbios","Hylidae","Aparasphenodon pomba","Perereca","Criticamente em Perigo (CR)"
"Fauna","Peixes Continentais","Parodontidae","Apareiodon davisi","Peixe-rei","Em Perigo (EN)"
"Fauna","Peixes Continentais","Parodontidae","Apareiodon vladii","Canivete","Vulnerável (VU)"
"Flora","Angiospermas","Acanthaceae","Aphelandra espirito-santensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Acanthaceae","Aphelandra margaritae","-","Vulnerável (VU)"
"Flora","Angiospermas","Acanthaceae","Aphelandra maximiliana","-","Em Perigo (EN)"
"Fauna","Peixes Continentais","Characidae","Aphyocheirodon hemigrammus","Lambari","Vulnerável (VU)"
"Flora","Angiospermas","Poaceae","Apoclada simplex","-","Em Perigo (EN)"
"Fauna","Répteis","Dipsadidae","Apostolepis arenaria","Cobra-rainha-do-são-francisco","Em Perigo (EN)"
"Fauna","Répteis","Dipsadidae","Apostolepis gaboi","Cobra-rainha-das-dunas","Em Perigo (EN)"
"Fauna","Répteis","Dipsadidae","Apostolepis quirogai","Desconhecido","Em Perigo (EN)"
"Fauna","Répteis","Dipsadidae","Apostolepis serrana","Cobra-rainha-da-serra-do-roncador","Em Perigo (EN)"
"Fauna","Répteis","Dipsadidae","Apostolepis striata","Cobra-rainha-estriada","Em Perigo (EN)"
"Fauna","Peixes Continentais","Apteronotidae","Apteronotus acidops","Sarapó","Em Perigo (EN)"
"Fauna","Peixes Continentais","Apteronotidae","Apteronotus lindalvae","Desconhecido","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Fabaceae","Apuleia leiocarpa","Grapia; Amarelão; Garapa; cumaru cetim; mitaroá","Vulnerável (VU)"
"Flora","Angiospermas","Fabaceae","Arachis villosa","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Araeococcus montanus","-","Em Perigo (EN)"
"Fauna","Aves","Psittacidae","Aratinga solstitialis","Jandaia-amarela","Em Perigo (EN)"
"Flora","Gimnospermas","Araucariaceae","Araucaria angustifolia","araucária; pinheiro-do-paraná; curi; pinheiro-brasileiro; pinho-do-paraná","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Lycaenidae","Arawacus aethesa","Borboleta","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Andrenidae","Arhysosage cactorum","Abelha","Vulnerável (VU)"
"Flora","Angiospermas","Poaceae","Aristida brasiliensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Poaceae","Aristida constricta","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Aristolochiaceae","Aristolochia hypoglauca","-","Em Perigo (EN)"
"Flora","Angiospermas","Aristolochiaceae","Aristolochia odora","calunga; jarrinha-cheirosa; jarrinha-de-barbelas; papo-de-peru; aipo-rasteiro","Vulnerável (VU)"
"Fauna","Aves","Passerelidae","Arremonops conirostris","Tico-tico-cantor","Vulnerável (VU)"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites alambariensis","Colêmbolo","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites amorimi","Colêmbolo","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites botuveraensis","Colêmbolo","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites gnaspinii","Colêmbolo","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites heteroculatus","Colêmbolo","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites lawrencei","Colêmbolo","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Arrhopalitidae","Arrhopalites paranaensis","Colêmbolo","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Cactaceae","Arrojadoa bahiensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Cactaceae","Arrojadoa eriocaulis","-","Em Perigo (EN)"
"Flora","Angiospermas","Cactaceae","Arthrocereus glaziovii","-","Em Perigo (EN)"
"Flora","Angiospermas","Cactaceae","Arthrocereus melanurus subsp. magnus","-","Em Perigo (EN)"
"Flora","Angiospermas","Cactaceae","Arthrocereus melanurus subsp. melanurus","-","Em Perigo (EN)"
"Flora","Angiospermas","Cactaceae","Arthrocereus melanurus subsp. odorus","-","Em Perigo (EN)"
"Flora","Angiospermas","Cactaceae","Arthrocereus rondonianus","-","Em Perigo (EN)"
"Flora","Angiospermas","Poaceae","Arthropogon xerachne","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Poaceae","Arundinella deppeana","-","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Aspilia almasensis","-","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Aspilia belo-horizontinae","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Asteraceae","Aspilia caudata","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Aspilia cordifolia","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Aspilia cylindrocephala","-","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Aspilia diamantinae","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Aspilia diffusiflora","-","Vulnerável (VU)"
"Flora","Angiospermas","Asteraceae","Aspilia diniz-cruzeanae","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Asteraceae","Aspilia eglerii","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Asteraceae","Aspilia espinhacensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Aspilia grazielae","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Aspilia jugata","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Asteraceae","Aspilia ovalifolia","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Asteraceae","Aspilia pereirae","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Aspilia prostrata","-","Em Perigo (EN)"
"Flora","Angiospermas","Asteraceae","Aspilia reticulata","-","Vulnerável (VU)"
