"Grupao","Grupo","Familia","Especie","NomeComum","CategoriaAmeaca"
"Flora","Angiospermas","Apocynaceae","Ditassa itambensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Apocynaceae","Ditassa laevis","-","Em Perigo (EN)"
"Flora","Angiospermas","Apocynaceae","Ditassa leonii","-","Vulnerável (VU)"
"Flora","Angiospermas","Apocynaceae","Ditassa longisepala","-","Em Perigo (EN)"
"Flora","Angiospermas","Apocynaceae","Ditassa maricaensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Apocynaceae","Ditassa oberdanii","-","Em Perigo (EN)"
"Fauna","Répteis","Dipsadidae","Ditaxodon taeniatus","Parelheira-listrada-do-campo","Vulnerável (VU)"
"Flora","Angiospermas","Dilleniaceae","Doliocarpus lancifolius","-","Em Perigo (EN)"
"Flora","Angiospermas","Moraceae","Dorstenia conceptionis","-","Em Perigo (EN)"
"Flora","Angiospermas","Moraceae","Dorstenia hildegardis","-","Criticamente em Perigo (CR)"
"Flora","Pteridófitas","Pteridaceae","Doryopteris itatiaiensis","-","Em Perigo (EN)"
"Flora","Pteridófitas","Pteridaceae","Doryopteris paradoxa","-","Vulnerável (VU)"
"Flora","Pteridófitas","Pteridaceae","Doryopteris quinquelobata","-","Criticamente em Perigo (CR)"
"Flora","Pteridófitas","Pteridaceae","Doryopteris rediviva","-","Vulnerável (VU)"
"Flora","Pteridófitas","Pteridaceae","Doryopteris rosenstockii","-","Em Perigo (EN)"
"Flora","Pteridófitas","Pteridaceae","Doryopteris rufa","-","Em Perigo (EN)"
"Flora","Pteridófitas","Pteridaceae","Doryopteris subsimplex","-","Em Perigo (EN)"
"Flora","Pteridófitas","Pteridaceae","Doryopteris tijucana","-","Em Perigo (EN)"
"Flora","Pteridófitas","Pteridaceae","Doryopteris trilobata","-","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Nymphalidae","Doxocopa zalmunna","Borboleta","Criticamente em Perigo (CR)"
"Flora","Briófitas","Lejeuneaceae","Drepanolejeunea aculeata","-","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Hesperiidae","Drephalys miersi","Borboleta","Em Perigo (EN)"
"Fauna","Invertebrados Terrestres","Hesperiidae","Drephalys mourei","Borboleta","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Droseraceae","Drosera graomogolensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Orchidaceae","Dryadella auriculigera","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Orchidaceae","Dryadella lilliputiana","-","Vulnerável (VU)"
