"Grupao","Grupo","Familia","Especie","NomeComum","EstadosOcorrencia"
"Fauna","Peixes Marinhos","Lutjanidae","Lutjanus cyanopterus","Caranha","SP"
"Fauna","Peixes Marinhos","Lutjanidae","Lutjanus purpureus","Pargo","AP"
"Fauna","Peixes Marinhos","Lutjanidae","Lutjanus purpureus","Pargo","CE"
"Fauna","Peixes Marinhos","Lutjanidae","Lutjanus purpureus","Pargo","MA"
"Fauna","Peixes Marinhos","Lutjanidae","Lutjanus purpureus","Pargo","PA"
"Fauna","Peixes Marinhos","Lutjanidae","Lutjanus purpureus","Pargo","PI"
"Fauna","Peixes Marinhos","Lutjanidae","Lutjanus purpureus","Pargo","RN"
"Flora","Angiospermas","Ochnaceae","Luxemburgia angustifolia","-","MG"
"Flora","Angiospermas","Ochnaceae","Luxemburgia corymbosa","-","MG"
"Flora","Angiospermas","Ochnaceae","Luxemburgia flexuosa","-","MG"
"Flora","Angiospermas","Poaceae","Luziola brasiliensis","-","BA"
"Flora","Angiospermas","Poaceae","Luziola brasiliensis","-","PB"
"Flora","Angiospermas","Poaceae","Luziola brasiliensis","-","PE"
"Flora","Angiospermas","Poaceae","Luziola brasiliensis","-","PI"
"Flora","Angiospermas","Poaceae","Luziola brasiliensis","-","SP"
"Fauna","Mamíferos","Canidae","Lycalopex vetulus","Raposa-do-campo","BA"
"Fauna","Mamíferos","Canidae","Lycalopex vetulus","Raposa-do-campo","DF"
"Fauna","Mamíferos","Canidae","Lycalopex vetulus","Raposa-do-campo","GO"
"Fauna","Mamíferos","Canidae","Lycalopex vetulus","Raposa-do-campo","MA"
"Fauna","Mamíferos","Canidae","Lycalopex vetulus","Raposa-do-campo","MG"
"Fauna","Mamíferos","Canidae","Lycalopex vetulus","Raposa-do-campo","MS"
"Fauna","Mamíferos","Canidae","Lycalopex vetulus","Raposa-do-campo","MT"
"Fauna","Mamíferos","Canidae","Lycalopex vetulus","Raposa-do-campo","PI"
"Fauna","Mamíferos","Canidae","Lycalopex vetulus","Raposa-do-campo","RO"
"Fauna","Mamíferos","Canidae","Lycalopex vetulus","Raposa-do-campo","SP"
"Fauna","Mamíferos","Canidae","Lycalopex vetulus","Raposa-do-campo","TO"
"Flora","Angiospermas","Asteraceae","Lychnophora albertinioides","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora brunioides","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora crispa","-","BA"
"Flora","Angiospermas","Asteraceae","Lychnophora crispa","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora diamantinana","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora gardneri","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora granmogolensis","-","BA"
"Flora","Angiospermas","Asteraceae","Lychnophora granmogolensis","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora humillima","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora markgravii","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora martiana","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora mello-barretoi","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora pohlii","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora ramosissima","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora regis","-","BA"
"Flora","Angiospermas","Asteraceae","Lychnophora reticulata","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora rosmarinifolia","-","BA"
"Flora","Angiospermas","Asteraceae","Lychnophora rosmarinifolia","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora santosii","-","BA"
"Flora","Angiospermas","Asteraceae","Lychnophora sellowii","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora sericea","-","BA"
"Flora","Angiospermas","Asteraceae","Lychnophora souzae","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora syncephala","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora tomentosa","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophora villosissima","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophoriopsis candelabrum","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophoriopsis damazioi","-","MG"
"Flora","Angiospermas","Asteraceae","Lychnophoriopsis hatschbachii","-","MG"
"Flora","Angiospermas","Solanaceae","Lycianthes repens","-","BA"
"Flora","Angiospermas","Solanaceae","Lycianthes repens","-","MG"
"Flora","Angiospermas","Solanaceae","Lycianthes repens","-","PR"
"Flora","Angiospermas","Solanaceae","Lycianthes repens","-","RJ"
"Flora","Angiospermas","Solanaceae","Lycianthes repens","-","SP"
"Fauna","Invertebrados Terrestres","Lycidae","Lycomorphon brasiliense","Besouro","SP"
"Fauna","Invertebrados Terrestres","Prodidomidae","Lygromma ybyguara","Desconhecido","MG"
"Flora","Angiospermas","Bromeliaceae","Lymania alvimii","-","BA"
