"Grupao","Grupo","Familia","Especie","NomeComum","EstadosOcorrencia"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","MG"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","MT"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","PA"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","PB"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","PE"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","PI"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","PR"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","RN"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","RO"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","RR"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","SE"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","SP"
"Fauna","Mamíferos","Felidae","Leopardus tigrinus","Gato-do-mato","TO"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","AC"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","AM"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","AP"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","BA"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","DF"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","ES"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","GO"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","MA"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","MG"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","MS"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","MT"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","PA"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","PI"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","PR"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","RJ"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","RO"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","RR"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","RS"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","SC"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","SP"
"Fauna","Mamíferos","Felidae","Leopardus wiedii","Gato-maracajá","TO"
"Flora","Angiospermas","Asteraceae","Lepidaploa almasensis","-","BA"
